Freq[Hz]        [Ohm]           Phase[Deg]
73.06           6.84            7.48
73.61           6.84            7.53
74.17           6.84            7.58
74.73           6.84            7.65
75.29           6.84            7.72
75.86           6.84            7.79
76.44           6.85            7.84
77.01           6.85            7.88
77.60           6.85            7.94
78.18           6.85            8.01
78.77           6.85            8.09
79.37           6.85            8.15
79.97           6.86            8.20
80.58           6.86            8.26
81.18           6.86            8.34
81.80           6.86            8.42
82.42           6.86            8.50
83.04           6.86            8.55
83.67           6.86            8.61
84.30           6.86            8.67
84.94           6.86            8.75
85.58           6.87            8.83
86.23           6.87            8.89
86.88           6.87            8.95
87.54           6.87            9.02
88.20           6.87            9.11
88.87           6.88            9.19
89.54           6.88            9.27
90.21           6.88            9.33
90.90           6.88            9.41
91.58           6.88            9.49
92.28           6.88            9.58
92.97           6.89            9.65
93.68           6.89            9.71
94.39           6.89            9.78
95.10           6.89            9.87
95.82           6.89            9.96
96.54           6.90            10.05
97.27           6.90            10.12
98.01           6.90            10.21
98.75           6.90            10.30
99.50           6.90            10.39
100.25          6.91            10.47
101.01          6.91            10.54
101.77          6.91            10.63
102.54          6.91            10.72
103.31          6.92            10.81
104.10          6.92            10.90
104.88          6.92            10.98
105.68          6.92            11.08
106.47          6.93            11.19
107.28          6.93            11.29
108.09          6.93            11.38
108.91          6.93            11.46
109.73          6.94            11.55
110.56          6.94            11.65
111.40          6.94            11.75
112.24          6.95            11.85
113.09          6.95            11.95
113.94          6.95            12.06
114.81          6.96            12.17
115.67          6.96            12.28
116.55          6.96            12.37
117.43          6.96            12.47
118.32          6.97            12.58
119.21          6.97            12.68
120.11          6.97            12.79
121.02          6.98            12.90
121.94          6.98            13.03
122.86          6.99            13.15
123.79          6.99            13.27
124.72          6.99            13.37
125.67          7.00            13.48
126.62          7.00            13.60
127.57          7.01            13.71
128.54          7.01            13.83
129.51          7.02            13.96
130.49          7.02            14.09
131.48          7.02            14.23
132.47          7.03            14.35
133.47          7.03            14.47
134.48          7.04            14.60
135.50          7.04            14.72
136.52          7.05            14.85
137.56          7.05            14.98
138.60          7.06            15.14
139.64          7.06            15.28
140.70          7.07            15.42
141.76          7.07            15.55
142.84          7.08            15.68
143.92          7.08            15.82
145.00          7.09            15.97
146.10          7.10            16.13
147.20          7.11            16.28
148.32          7.11            16.44
149.44          7.12            16.59
150.57          7.12            16.74
151.71          7.13            16.88
152.85          7.14            17.04
154.01          7.15            17.21
155.18          7.15            17.39
156.35          7.16            17.56
157.53          7.17            17.73
158.72          7.17            17.89
159.92          7.18            18.04
161.13          7.19            18.21
162.35          7.20            18.40
163.58          7.21            18.60
164.81          7.22            18.79
166.06          7.22            18.96
167.32          7.23            19.14
168.58          7.25            19.32
169.86          7.26            19.51
171.14          7.27            19.72
172.43          7.28            19.93
173.74          7.29            20.13
175.05          7.30            20.33
176.38          7.31            20.52
177.71          7.32            20.71
179.05          7.33            20.94
180.41          7.34            21.19
181.77          7.36            21.42
183.14          7.37            21.61
184.53          7.38            21.81
185.93          7.40            22.05
187.33          7.41            22.30
188.75          7.43            22.55
190.17          7.44            22.79
191.61          7.45            23.02
193.06          7.47            23.26
194.52          7.50            23.64
195.99          7.52            23.97
197.47          7.53            24.23
198.97          7.55            24.48
200.47          7.57            24.74
201.99          7.59            25.00
203.51          7.62            25.27
205.05          7.63            25.57
206.60          7.65            25.85
208.17          7.67            26.11
209.74          7.69            26.37
211.33          7.73            26.72
212.92          7.75            27.10
214.53          7.77            27.41
216.16          7.79            27.69
217.79          7.82            27.95
219.44          7.86            28.39
221.10          7.89            28.73
222.77          7.91            29.05
224.45          7.94            29.42
226.15          7.99            29.78
227.86          8.02            30.09
229.58          8.05            30.51
231.32          8.08            30.95
233.07          8.12            31.26
234.83          8.18            31.72
236.61          8.22            32.06
238.39          8.25            32.50
240.20          8.29            32.94
242.01          8.35            33.37
243.84          8.41            33.80
245.69          8.46            34.24
247.55          8.50            34.70
249.42          8.56            35.22
251.30          8.62            35.60
253.20          8.70            36.22
255.12          8.76            36.69
257.05          8.82            37.12
258.99          8.90            37.66
260.95          8.98            38.21
262.92          9.05            38.80
264.91          9.15            39.39
266.91          9.24            39.82
268.93          9.35            40.40
270.96          9.43            40.96
273.01          9.53            41.67
275.08          9.66            42.35
277.16          9.82            43.02
279.25          9.94            43.53
281.36          10.06           44.07
283.49          10.19           44.74
285.64          10.35           45.62
287.80          10.54           46.50
289.97          10.74           47.13
292.16          10.96           47.63
294.37          11.15           48.27
296.60          11.33           49.04
298.84          11.54           49.93
301.10          11.82           50.86
303.38          12.15           51.75
305.67          12.47           52.37
307.98          12.85           52.86
310.31          13.16           53.50
312.66          13.52           54.56
315.02          13.89           55.59
317.40          14.48           56.79
319.80          15.08           57.76
322.22          15.80           58.45
324.66          16.47           58.79
327.11          17.35           59.41
329.59          18.01           60.11
332.08          18.89           61.11
334.59          20.08           62.48
337.12          21.56           63.98
339.67          23.50           65.03
342.24          25.60           65.50
344.83          29.02           65.50
347.43          32.57           64.56
350.06          36.94           62.71
352.71          42.87           59.72
355.37          48.10           56.56
358.06          56.64           50.89
360.77          67.31           43.34
363.50          78.15           34.08
366.25          89.82           21.36
369.01          98.76           2.60
371.80          94.49           -18.47
374.62          79.46           -36.07
377.45          63.66           -46.58
380.30          51.57           -52.34
